date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
05/Sep/2014,19:45,Northampton,53,Gloucester,6,Franklin's Gardens,home,Wayne Barnes,59,W,N,19,Fri,Sep,2014,2014-15,1,0,8,5,1,0,0,0,2,0
05/Sep/2014,19:45,Gloucester,6,Northampton,53,Franklin's Gardens,away,Wayne Barnes,59,L,N,19,Fri,Sep,2014,2014-15,0,1,0,0,2,0,8,5,1,0
06/Sep/2014,14:00,Sale,20,Bath,29,AJ Bell Stadium,home,JP Doyle,49,L,N,14,Sat,Sep,2014,2014-15,0,0,2,2,2,0,2,2,5,0
06/Sep/2014,14:00,Bath,29,Sale,20,AJ Bell Stadium,away,JP Doyle,49,W,N,14,Sat,Sep,2014,2014-15,0,0,2,2,5,0,2,2,2,0
06/Sep/2014,14:00,Saracens,34,Wasps,28,Twickenham Stadium,home,Andrew Small,62,W,N,14,Sat,Sep,2014,2014-15,1,1,4,4,2,0,3,2,3,0
06/Sep/2014,14:00,Wasps,28,Saracens,34,Twickenham Stadium,away,Andrew Small,62,L,N,14,Sat,Sep,2014,2014-15,1,1,3,2,3,0,4,4,2,0
06/Sep/2014,15:00,Leicester,36,Newcastle,17,Welford Road,home,Luke Pearce,53,W,N,15,Sat,Sep,2014,2014-15,1,0,4,2,4,0,2,2,1,0
06/Sep/2014,15:00,Newcastle,17,Leicester,36,Welford Road,away,Luke Pearce,53,L,N,15,Sat,Sep,2014,2014-15,0,1,2,2,1,0,4,2,4,0
06/Sep/2014,16:30,London Irish,15,Harlequins,20,Twickenham Stadium,home,Greg Garner,35,L,N,16,Sat,Sep,2014,2014-15,1,0,0,0,5,0,2,2,2,0
06/Sep/2014,16:30,Harlequins,20,London Irish,15,Twickenham Stadium,away,Greg Garner,35,W,N,16,Sat,Sep,2014,2014-15,0,1,2,2,2,0,0,0,5,0
07/Sep/2014,14:00,London Welsh,0,Exeter,52,Kassam Stadium,home,Dean Richards,52,L,N,14,Sun,Sep,2014,2014-15,0,1,0,0,0,0,7,7,1,0
07/Sep/2014,14:00,Exeter,52,London Welsh,0,Kassam Stadium,away,Dean Richards,52,W,N,14,Sun,Sep,2014,2014-15,1,0,7,7,1,0,0,0,0,0
12/Sep/2014,19:45,Harlequins,0,Saracens,39,Twickenham Stoop,home,Wayne Barnes,39,L,N,19,Fri,Sep,2014,2014-15,0,0,0,0,0,0,3,3,6,0
12/Sep/2014,19:45,Saracens,39,Harlequins,0,Twickenham Stoop,away,Wayne Barnes,39,W,N,19,Fri,Sep,2014,2014-15,0,0,3,3,6,0,0,0,0,0
13/Sep/2014,15:00,Bath,53,London Welsh,26,The Recreation Ground,home,Matthew Carley,79,W,N,15,Sat,Sep,2014,2014-15,1,1,7,6,2,0,4,3,0,0
13/Sep/2014,15:00,London Welsh,26,Bath,53,The Recreation Ground,away,Matthew Carley,79,L,N,15,Sat,Sep,2014,2014-15,1,1,4,3,0,0,7,6,2,0
13/Sep/2014,15:00,Gloucester,34,Sale,27,Kingsholm,home,Greg Garner,61,W,N,15,Sat,Sep,2014,2014-15,0,2,3,2,5,0,4,2,1,0
13/Sep/2014,15:00,Sale,27,Gloucester,34,Kingsholm,away,Greg Garner,61,L,N,15,Sat,Sep,2014,2014-15,2,0,4,2,1,0,3,2,5,0
13/Sep/2014,15:15,Exeter,20,Leicester,24,Sandy Park,home,JP Doyle,44,L,N,15,Sat,Sep,2014,2014-15,1,0,2,2,2,0,2,1,4,0
13/Sep/2014,15:15,Leicester,24,Exeter,20,Sandy Park,away,JP Doyle,44,W,N,15,Sat,Sep,2014,2014-15,0,1,2,1,4,0,2,2,2,0
14/Sep/2014,14:00,Wasps,20,Northampton,16,Adams Park,home,Luke Pearce,36,W,N,14,Sun,Sep,2014,2014-15,0,1,2,2,2,0,1,1,3,0
14/Sep/2014,14:00,Northampton,16,Wasps,20,Adams Park,away,Luke Pearce,36,L,N,14,Sun,Sep,2014,2014-15,1,0,1,1,3,0,2,2,2,0
14/Sep/2014,15:00,Newcastle,18,London Irish,20,Kingston Park,home,Andrew Small,38,L,N,15,Sun,Sep,2014,2014-15,1,0,3,0,1,0,2,2,2,0
14/Sep/2014,15:00,London Irish,20,Newcastle,18,Kingston Park,away,Andrew Small,38,W,N,15,Sun,Sep,2014,2014-15,0,1,2,2,2,0,3,0,1,0
19/Sep/2014,19:45,Gloucester,22,Exeter,25,Kingsholm,home,Matthew Carley,47,L,N,19,Fri,Sep,2014,2014-15,1,0,3,2,1,0,1,1,6,0
19/Sep/2014,19:45,Exeter,25,Gloucester,22,Kingsholm,away,Matthew Carley,47,W,N,19,Fri,Sep,2014,2014-15,0,1,1,1,6,0,3,2,1,0
20/Sep/2014,14:00,Sale,46,London Welsh,8,AJ Bell Stadium,home,Andrew Small,54,W,N,14,Sat,Sep,2014,2014-15,1,0,6,5,2,0,1,0,1,0
