date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
03/Sep/2010,19:45,Sale,35,0,Newcastle,18,0,Edgeley Park,Dean Richards,53,H,N,19,Fri,Sep,2010,2010-11
03/Sep/2010,19:45,Newcastle,18,0,Sale,35,0,Edgeley Park,Dean Richards,53,H,N,19,Fri,Sep,2010,2010-11
04/Sep/2010,14:00,London Irish,33,1,Saracens,16,0,Twickenham Stadium,Andrew Small,49,H,N,14,Sat,Sep,2010,2010-11
04/Sep/2010,14:00,Saracens,16,0,London Irish,33,1,Twickenham Stadium,Andrew Small,49,H,N,14,Sat,Sep,2010,2010-11
04/Sep/2010,15:00,Exeter,22,0,Gloucester,10,0,Sandy Park,Rob Debney,32,H,N,15,Sat,Sep,2010,2010-11
04/Sep/2010,15:00,Gloucester,10,0,Exeter,22,0,Sandy Park,Rob Debney,32,H,N,15,Sat,Sep,2010,2010-11
04/Sep/2010,16:30,Wasps,29,0,Harlequins,29,0,Twickenham Stadium,Chris White,58,D,N,16,Sat,Sep,2010,2010-11
04/Sep/2010,16:30,Harlequins,29,0,Wasps,29,0,Twickenham Stadium,Chris White,58,D,N,16,Sat,Sep,2010,2010-11
05/Sep/2010,15:00,Leeds,16,0,Bath,32,1,Headingley,Unknown,48,A,N,15,Sun,Sep,2010,2010-11
05/Sep/2010,15:00,Bath,32,1,Leeds,16,0,Headingley,Unknown,48,A,N,15,Sun,Sep,2010,2010-11
05/Sep/2010,15:00,Northampton,27,0,Leicester,19,0,Franklin's Gardens,Dave Pearson,46,H,N,15,Sun,Sep,2010,2010-11
05/Sep/2010,15:00,Leicester,19,0,Northampton,27,0,Franklin's Gardens,Dave Pearson,46,H,N,15,Sun,Sep,2010,2010-11
10/Sep/2010,20:00,Newcastle,29,0,Wasps,17,0,Kingston Park,Unknown,46,H,N,20,Fri,Sep,2010,2010-11
10/Sep/2010,20:00,Wasps,17,0,Newcastle,29,0,Kingston Park,Unknown,46,H,N,20,Fri,Sep,2010,2010-11
11/Sep/2010,13:30,Harlequins,16,1,Northampton,20,0,Twickenham Stoop,Andrew Small,36,A,N,13,Sat,Sep,2010,2010-11
11/Sep/2010,13:30,Northampton,20,0,Harlequins,16,1,Twickenham Stoop,Andrew Small,36,A,N,13,Sat,Sep,2010,2010-11
11/Sep/2010,14:15,Bath,20,0,London Irish,13,1,Recreation Ground,Dave Pearson,33,H,N,14,Sat,Sep,2010,2010-11
11/Sep/2010,14:15,London Irish,13,1,Bath,20,0,Recreation Ground,Dave Pearson,33,H,N,14,Sat,Sep,2010,2010-11
11/Sep/2010,15:00,Gloucester,22,0,Leeds,21,1,Kingsholm,Unknown,43,H,N,15,Sat,Sep,2010,2010-11
11/Sep/2010,15:00,Leeds,21,1,Gloucester,22,0,Kingsholm,Unknown,43,H,N,15,Sat,Sep,2010,2010-11
11/Sep/2010,17:30,Leicester,37,1,Exeter,27,0,Welford Road,Dean Richards,64,H,N,17,Sat,Sep,2010,2010-11
11/Sep/2010,17:30,Exeter,27,0,Leicester,37,1,Welford Road,Dean Richards,64,H,N,17,Sat,Sep,2010,2010-11
12/Sep/2010,14:15,Saracens,28,0,Sale,13,0,Vicarage Road,Wayne Barnes,41,H,N,14,Sun,Sep,2010,2010-11
12/Sep/2010,14:15,Sale,13,0,Saracens,28,0,Vicarage Road,Wayne Barnes,41,H,N,14,Sun,Sep,2010,2010-11
17/Sep/2010,19:45,Northampton,31,1,Bath,10,0,Franklin's Gardens,Chris White,41,H,N,19,Fri,Sep,2010,2010-11
17/Sep/2010,19:45,Bath,10,0,Northampton,31,1,Franklin's Gardens,Chris White,41,H,N,19,Fri,Sep,2010,2010-11
17/Sep/2010,19:45,Sale,21,0,Harlequins,17,1,Edgeley Park,Dave Pearson,38,H,N,19,Fri,Sep,2010,2010-11
17/Sep/2010,19:45,Harlequins,17,1,Sale,21,0,Edgeley Park,Dave Pearson,38,H,N,19,Fri,Sep,2010,2010-11
18/Sep/2010,15:00,Exeter,22,0,Newcastle,17,1,Sandy Park,Greg Garner,39,H,N,15,Sat,Sep,2010,2010-11
18/Sep/2010,15:00,Newcastle,17,1,Exeter,22,0,Sandy Park,Greg Garner,39,H,N,15,Sat,Sep,2010,2010-11
18/Sep/2010,15:05,Wasps,37,0,Leicester,30,2,Adams Park,Wayne Barnes,67,H,N,15,Sat,Sep,2010,2010-11
18/Sep/2010,15:05,Leicester,30,2,Wasps,37,0,Adams Park,Wayne Barnes,67,H,N,15,Sat,Sep,2010,2010-11
19/Sep/2010,15:00,London Irish,23,0,Gloucester,16,1,Madejski Stadium,Dean Richards,39,H,N,15,Sun,Sep,2010,2010-11
19/Sep/2010,15:00,Gloucester,16,1,London Irish,23,0,Madejski Stadium,Dean Richards,39,H,N,15,Sun,Sep,2010,2010-11
19/Sep/2010,15:00,Leeds,14,0,Saracens,26,0,Headingley,Sean Davey,40,A,N,15,Sun,Sep,2010,2010-11
19/Sep/2010,15:00,Saracens,26,0,Leeds,14,0,Headingley,Sean Davey,40,A,N,15,Sun,Sep,2010,2010-11
25/Sep/2010,14:15,Bath,31,1,Sale,16,0,Recreation Ground,Unknown,47,H,N,14,Sat,Sep,2010,2010-11
25/Sep/2010,14:15,Sale,16,0,Bath,31,1,Recreation Ground,Unknown,47,H,N,14,Sat,Sep,2010,2010-11
25/Sep/2010,14:30,Gloucester,22,0,Wasps,20,1,Kingsholm,Unknown,42,H,N,14,Sat,Sep,2010,2010-11
25/Sep/2010,14:30,Wasps,20,1,Gloucester,22,0,Kingsholm,Unknown,42,H,N,14,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Harlequins,40,1,Exeter,13,0,Twickenham Stoop,Unknown,53,H,N,15,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Exeter,13,0,Harlequins,40,1,Twickenham Stoop,Unknown,53,H,N,15,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Leicester,48,1,Leeds,6,0,Welford Road,Unknown,54,H,N,15,Sat,Sep,2010,2010-11
25/Sep/2010,15:00,Leeds,6,0,Leicester,48,1,Welford Road,Unknown,54,H,N,15,Sat,Sep,2010,2010-11
25/Sep/2010,17:15,Newcastle,12,0,London Irish,46,1,Kingston Park,Unknown,58,A,N,17,Sat,Sep,2010,2010-11
25/Sep/2010,17:15,London Irish,46,1,Newcastle,12,0,Kingston Park,Unknown,58,A,N,17,Sat,Sep,2010,2010-11
26/Sep/2010,15:00,Saracens,24,0,Northampton,17,1,Vicarage Road,Unknown,41,H,N,15,Sun,Sep,2010,2010-11
26/Sep/2010,15:00,Northampton,17,1,Saracens,24,0,Vicarage Road,Unknown,41,H,N,15,Sun,Sep,2010,2010-11
01/Oct/2010,19:45,Sale,24,1,Wasps,25,0,Edgeley Park,Unknown,49,A,N,19,Fri,Oct,2010,2010-11
01/Oct/2010,19:45,Wasps,25,0,Sale,24,1,Edgeley Park,Unknown,49,A,N,19,Fri,Oct,2010,2010-11
01/Oct/2010,20:05,Bath,3,0,Gloucester,18,0,Recreation Ground,Unknown,21,A,N,20,Fri,Oct,2010,2010-11
01/Oct/2010,20:05,Gloucester,18,0,Bath,3,0,Recreation Ground,Unknown,21,A,N,20,Fri,Oct,2010,2010-11
02/Oct/2010,15:00,Harlequins,23,0,Newcastle,12,0,Twickenham Stoop,Unknown,35,H,N,15,Sat,Oct,2010,2010-11
