,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
0,2010-09-03,19:45,Sale,35,Newcastle,18,Edgeley Park,Dean Richards,53,H,Sep,2010,2010-11,25.02,20.07,45.09,26.74,23.75,23.46,21.29,23.21,21.72,18.05,18.07,22.81,16.45,48.46,41.8,41.53,44.1,24.89,22.5,21.45,21.29,22.88,18.57,15.8,14.64,18.5,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
1,2011-12-26,14:30,Sale,27,Newcastle,19,Edgeley Park,Dave Pearson,46,H,Dec,2011,2011-12,25.02,20.07,45.09,23.49,23.01,22.71,21.29,23.21,19.0,18.59,18.7,22.81,16.45,42.49,41.59,41.41,44.1,23.0,21.62,21.0,21.29,22.88,14.78,14.42,16.55,18.5,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
2,2013-09-13,20:00,Sale,14,Newcastle,15,Salford City Stadium,Luke Pearce,29,A,Sep,2013,2013-14,25.02,20.07,45.09,26.74,23.78,22.18,19.32,23.21,21.72,18.95,19.22,18.77,16.45,48.46,42.72,41.4,38.09,24.89,20.45,18.45,19.32,22.88,18.57,7.17,13.27,15.0,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
3,2015-05-09,14:00,Sale,34,Newcastle,28,AJ Bell Stadium,Matthew Carley,62,H,May,2015,2014-15,25.02,20.07,45.09,29.93,25.84,27.21,25.2,23.21,22.46,20.54,20.83,17.86,16.45,52.39,46.38,48.04,43.06,24.71,22.0,26.27,25.2,22.88,21.12,21.5,21.18,17.4,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
4,2015-11-28,14:30,Sale,15,Newcastle,15,AJ Bell Stadium,Craig Maxwell-Keys,30,D,Nov,2015,2015-16,25.02,20.07,45.09,22.32,25.84,23.9,25.2,23.21,17.82,20.54,19.54,17.86,16.45,40.14,46.38,43.44,43.06,20.0,22.0,24.55,25.2,22.88,11.8,21.5,15.0,17.4,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
5,2017-02-10,20:15,Sale,26,Newcastle,24,AJ Bell Stadium,Craig Maxwell-Keys,50,H,Feb,2017,2016-17,25.02,20.07,45.09,23.84,27.61,26.22,25.2,23.21,18.85,21.88,21.22,17.86,16.45,42.7,49.49,47.44,43.06,22.13,26.58,21.82,25.2,22.88,15.12,20.09,14.82,17.4,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
6,2017-09-08,19:45,Sale,12,Newcastle,13,AJ Bell Stadium,Andrew Jackson,25,A,Sep,2017,2017-18,25.02,20.07,45.09,26.74,27.61,26.46,25.2,23.21,21.72,21.88,22.11,17.86,16.45,48.46,49.49,48.57,43.06,24.89,26.58,26.64,25.2,22.88,18.57,20.09,18.25,17.4,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
7,2018-10-06,15:00,Sale,20,Newcastle,7,AJ Bell Stadium,Tom Foley,27,H,Oct,2018,2018-19,25.02,20.07,45.09,24.07,26.3,26.84,25.2,23.21,18.5,22.3,21.13,17.86,16.45,42.57,48.6,47.97,43.06,18.64,23.1,22.64,25.2,22.88,13.27,17.42,17.73,17.4,17.38,29.4,16.2,19.33,14.67,63.30275229357798%,21.34831460674157%
8,2011-02-12,12:30,London Irish,23,Newcastle,14,Madejski Stadium,N/A,37,H,Feb,2011,2010-11,25.02,20.07,45.09,23.84,23.01,23.46,23.59,22.92,18.85,18.59,18.07,24.28,16.45,42.7,41.59,41.53,47.87,19.25,26.67,26.82,23.59,27.67,15.12,14.42,14.64,18.5,18.5,12.4,16.2,19.0,18.67,40.909090909090914%,21.34831460674157%
9,2011-09-24,15:00,London Irish,46,Newcastle,29,Madejski Stadium,N/A,75,H,Sep,2011,2011-12,25.02,20.07,45.09,26.74,23.01,22.71,23.59,22.92,21.72,18.59,18.7,24.28,16.45,48.46,41.59,41.41,47.87,27.14,26.67,29.18,23.59,27.67,18.57,14.42,16.55,18.5,18.5,12.4,16.2,19.0,18.67,40.909090909090914%,21.34831460674157%
10,2014-04-13,15:00,London Irish,40,Newcastle,12,Madejski Stadium,Luke Pearce,52,H,Apr,2014,2013-14,25.02,20.07,45.09,26.11,25.03,22.18,23.59,22.92,23.23,20.78,19.22,24.28,16.45,49.35,45.81,41.4,47.87,23.33,21.55,20.73,23.59,27.67,18.67,18.2,13.27,18.5,18.5,12.4,16.2,19.0,18.67,40.909090909090914%,21.34831460674157%
11,2015-03-28,15:00,London Irish,22,Newcastle,21,Madejski Stadium,Greg Garner,43,H,Mar,2015,2014-15,25.02,20.07,45.09,25.2,25.84,27.21,23.59,22.92,19.65,20.54,20.83,24.28,16.45,44.85,46.38,48.04,47.87,26.9,21.22,21.45,23.59,27.67,18.44,21.5,21.18,18.5,18.5,12.4,16.2,19.0,18.67,40.909090909090914%,21.34831460674157%
12,2016-01-10,13:00,London Irish,20,Newcastle,15,Madejski Stadium,JP Doyle,35,H,Jan,2016,2015-16,25.02,20.07,45.09,23.7,24.56,23.9,23.59,22.92,18.26,19.5,19.54,24.28,16.45,41.96,44.06,43.44,47.87,23.83,19.14,18.55,23.59,27.67,20.67,13.08,15.0,18.5,18.5,12.4,16.2,19.0,18.67,40.909090909090914%,21.34831460674157%
13,2017-12-30,15:00,London Irish,15,Newcastle,20,Madejski Stadium,Tom Foley,35,A,Dec,2017,2017-18,25.02,20.07,45.09,23.49,27.61,26.46,23.59,22.92,19.0,21.88,22.11,24.28,16.45,42.49,49.49,48.57,47.87,18.12,22.83,19.64,23.59,27.67,14.78,20.09,18.25,18.5,18.5,12.4,16.2,19.0,18.67,40.909090909090914%,21.34831460674157%
14,2011-01-02,14:45,Wasps,33,Newcastle,16,Adams Park,N/A,49,H,Jan,2011,2010-11,25.02,20.07,45.09,23.7,23.01,23.46,23.95,28.39,18.26,18.59,18.07,20.6,16.45,41.96,41.59,41.53,44.56,24.9,23.64,25.82,23.95,27.62,20.67,14.42,14.64,21.5,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
15,2012-05-05,14:00,Wasps,10,Newcastle,14,Adams Park,Wayne Barnes,24,A,May,2012,2011-12,25.02,20.07,45.09,29.93,22.83,22.71,23.95,28.39,22.46,18.33,18.7,20.6,16.45,52.39,41.17,41.41,44.56,28.0,20.33,17.45,23.95,27.62,21.12,18.2,16.55,21.5,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
16,2014-05-03,15:00,Wasps,44,Newcastle,38,Adams Park,Dean Richards,82,H,May,2014,2013-14,25.02,20.07,45.09,29.93,25.03,22.18,23.95,28.39,22.46,20.78,19.22,20.6,16.45,52.39,45.81,41.4,44.56,28.0,32.82,22.45,23.95,27.62,21.12,18.2,13.27,21.5,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
17,2014-09-28,14:00,Wasps,35,Newcastle,18,Adams Park,Dean Richards,53,H,Sep,2014,2014-15,25.02,20.07,45.09,26.74,25.03,27.21,23.95,28.39,21.72,20.78,20.83,20.6,16.45,48.46,45.81,48.04,44.56,36.39,32.82,35.18,23.95,27.62,18.57,18.2,21.18,21.5,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
18,2016-02-06,14:00,Wasps,9,Newcastle,8,Ricoh Arena,Craig Maxwell-Keys,17,H,Feb,2016,2015-16,25.02,20.07,45.09,23.84,24.56,23.9,31.53,28.39,18.85,19.5,19.54,21.3,16.45,42.7,44.06,43.44,52.83,24.62,37.21,27.82,31.53,27.62,15.12,13.08,15.0,11.0,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
19,2016-10-30,14:30,Wasps,31,Newcastle,6,Ricoh Arena,Craig Maxwell-Keys,37,H,Oct,2016,2016-17,25.02,20.07,45.09,24.07,24.56,26.22,31.53,28.39,18.5,19.5,21.22,21.3,16.45,42.57,44.06,47.44,52.83,26.43,37.21,36.0,31.53,27.62,13.27,13.08,14.82,11.0,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
20,2017-11-18,17:15,Wasps,40,Newcastle,10,Ricoh Arena,Matthew O'Grady,50,H,Nov,2017,2017-18,25.02,20.07,45.09,22.32,27.61,26.46,31.53,28.39,17.82,21.88,22.11,21.3,16.45,40.14,49.49,48.57,52.83,29.5,30.55,29.0,31.53,27.62,11.8,20.09,18.25,11.0,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
21,2019-03-09,14:00,Wasps,19,Newcastle,20,Ricoh Arena,Thomas Foley,39,A,Mar,2019,2018-19,25.02,20.07,45.09,25.2,25.38,26.84,31.53,28.39,19.65,20.14,21.13,21.3,16.45,44.85,45.52,47.97,52.83,26.5,23.44,24.73,31.53,27.62,18.44,16.2,17.73,11.0,16.25,43.4,16.2,30.0,12.0,65.17857142857143%,21.34831460674157%
