date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season
06/Sep/2013,19:45,Newcastle Falcons,0,Bath,21,Kingston Park,Wayne Barnes,21,A,N,Sep,2013,2013-14
07/Sep/2013,14:00,London Irish,20,Saracens,42,Twickenham Stadium,Greg Garner,62,A,N,Sep,2013,2013-14
07/Sep/2013,15:00,Gloucester,16,Sale Sharks,22,Kingsholm,Andrew Small,38,A,N,Sep,2013,2013-14
07/Sep/2013,15:00,Northampton Saints,38,Exeter Chiefs,11,Franklin's Gardens,JP Doyle,49,H,N,Sep,2013,2013-14
07/Sep/2013,16:30,Wasps,15,Harlequins,16,Twickenham Stadium,Tim Wigglesworth,31,A,N,Sep,2013,2013-14
08/Sep/2013,14:00,Leicester Tigers,32,Worcester Warriors,15,Welford Road,Luke Pearce,47,H,N,Sep,2013,2013-14
13/Sep/2013,19:45,Harlequins,6,Northampton Saints,13,Twickenham Stoop,Andrew Small,19,A,N,Sep,2013,2013-14
13/Sep/2013,20:00,Sale Sharks,14,Newcastle Falcons,15,Salford City Stadium,Luke Pearce,29,A,N,Sep,2013,2013-14
14/Sep/2013,15:00,Exeter Chiefs,30,Wasps,26,Sandy Park,Martin Fox,56,H,N,Sep,2013,2013-14
14/Sep/2013,15:00,Worcester Warriors,18,London Irish,20,Sixways,Tim Wigglesworth,38,A,N,Sep,2013,2013-14
14/Sep/2013,15:15,Bath,27,Leicester Tigers,20,The Recreation Ground,Greg Garner,47,H,N,Sep,2013,2013-14
15/Sep/2013,14:00,Saracens,44,Gloucester,12,Allianz Park,Wayne Barnes,56,H,N,Sep,2013,2013-14
20/Sep/2013,19:45,Worcester Warriors,13,Harlequins,37,Sixways,Wayne Barnes,50,A,N,Sep,2013,2013-14
20/Sep/2013,20:00,Sale Sharks,26,Wasps,22,Salford City Stadium,Tim Wigglesworth,48,H,N,Sep,2013,2013-14
21/Sep/2013,15:00,Leicester Tigers,31,Newcastle Falcons,6,Welford Road,David Rose,37,H,N,Sep,2013,2013-14
21/Sep/2013,15:00,London Irish,23,Exeter Chiefs,29,Madejski Stadium,Andrew Small,52,A,N,Sep,2013,2013-14
21/Sep/2013,15:15,Gloucester,26,Northampton Saints,24,Kingsholm,Martin Fox,50,H,N,Sep,2013,2013-14
22/Sep/2013,14:00,Saracens,31,Bath,17,Allianz Park,JP Doyle,48,H,N,Sep,2013,2013-14
27/Sep/2013,19:45,Northampton Saints,33,Sale Sharks,14,Franklin's Gardens,David Rose,47,H,N,Sep,2013,2013-14
28/Sep/2013,15:00,Bath,33,London Irish,18,The Recreation Ground,Luke Pearce,51,H,N,Sep,2013,2013-14
28/Sep/2013,15:00,Wasps,32,Worcester Warriors,16,Adams Park,Gregory Garner,48,H,N,Sep,2013,2013-14
28/Sep/2013,15:15,Harlequins,12,Saracens,22,Twickenham Stoop,Martin Fox,34,A,N,Sep,2013,2013-14
29/Sep/2013,14:00,Exeter Chiefs,9,Leicester Tigers,21,Sandy Park,Tim Wigglesworth,30,A,N,Sep,2013,2013-14
29/Sep/2013,15:00,Newcastle Falcons,16,Gloucester,22,Kingston Park,Andrew Small,38,A,N,Sep,2013,2013-14
04/Oct/2013,19:45,Sale Sharks,19,Bath,13,Salford City Stadium,Andrew Small,32,H,N,Oct,2013,2013-14
05/Oct/2013,15:00,London Irish,18,Harlequins,13,Madejski Stadium,David Rose,31,H,N,Oct,2013,2013-14
05/Oct/2013,15:00,Saracens,19,Wasps,12,Allianz Park,Luke Pearce,31,H,N,Oct,2013,2013-14
05/Oct/2013,15:00,Worcester Warriors,11,Newcastle Falcons,16,Sixways,Martin Fox,27,A,N,Oct,2013,2013-14
05/Oct/2013,15:15,Leicester Tigers,19,Northampton Saints,19,Welford Road,JP Doyle,38,D,N,Oct,2013,2013-14
06/Oct/2013,14:00,Gloucester,12,Exeter Chiefs,29,Kingsholm,Matthew Carley,41,A,N,Oct,2013,2013-14
25/Oct/2013,19:45,Bath,15,Gloucester,13,The Recreation Ground,Wayne Barnes,28,H,N,Oct,2013,2013-14
26/Oct/2013,15:00,Exeter Chiefs,40,Worcester Warriors,6,Sandy Park,JP Doyle,46,H,N,Oct,2013,2013-14
26/Oct/2013,15:00,Harlequins,24,Sale Sharks,3,Twickenham Stoop,Luke Pearce,27,H,N,Oct,2013,2013-14
26/Oct/2013,15:15,Northampton Saints,41,Saracens,20,Franklin's Gardens,Tim Wigglesworth,61,H,N,Oct,2013,2013-14
27/Oct/2013,14:00,Wasps,22,Leicester Tigers,12,Adams Park,Andrew Small,34,H,N,Oct,2013,2013-14
27/Oct/2013,15:00,Newcastle Falcons,13,London Irish,11,Kingston Park,Gregory Garner,24,H,N,Oct,2013,2013-14
01/Nov/2013,19:45,Worcester Warriors,6,Bath,21,Sixways,Gregory Garner,27,A,N,Nov,2013,2013-14
01/Nov/2013,20:00,Sale Sharks,16,Exeter Chiefs,18,Salford City Stadium,Wayne Barnes,34,A,N,Nov,2013,2013-14
02/Nov/2013,17:00,Gloucester,30,Wasps,32,Kingsholm,JP Doyle,62,A,N,Nov,2013,2013-14
02/Nov/2013,17:30,Leicester Tigers,16,Harlequins,23,Welford Road,Tim Wigglesworth,39,A,N,Nov,2013,2013-14
03/Nov/2013,14:00,London Irish,14,Northampton Saints,19,Madejski Stadium,Andrew Small,33,A,N,Nov,2013,2013-14
03/Nov/2013,15:00,Saracens,40,Newcastle Falcons,3,Allianz Park,Matthew Carley,43,H,N,Nov,2013,2013-14
22/Nov/2013,20:00,Sale Sharks,26,Worcester Warriors,10,Salford City Stadium,Andrew Small,36,H,N,Nov,2013,2013-14
23/Nov/2013,15:00,Exeter Chiefs,9,Saracens,16,Sandy Park,Tim Wigglesworth,25,A,N,Nov,2013,2013-14
23/Nov/2013,15:00,Harlequins,27,Gloucester,19,Twickenham Stoop,Matthew Carley,46,H,N,Nov,2013,2013-14
23/Nov/2013,15:00,Leicester Tigers,20,London Irish,11,Welford Road,Martin Fox,31,H,N,Nov,2013,2013-14
23/Nov/2013,15:15,Northampton Saints,18,Newcastle Falcons,0,Franklin's Gardens,Dean Richards,18,H,N,Nov,2013,2013-14
