,date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,hour,day,month,year,season,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
126,2010-12-26,15:00,Saracens,13,0,Wasps,6,1,Wembley Stadium,Unknown,19,H,15,Sun,Dec,2010,2010-11,16.0,16.4,0.2,0.4,11,12,1,20,3,19,0,1
127,2010-12-26,15:00,Wasps,6,1,Saracens,13,0,Wembley Stadium,Unknown,19,H,15,Sun,Dec,2010,2010-11,19.0,17.6,0.0,0.4,12,11,1,20,3,19,0,1
131,2010-12-27,16:15,London Irish,18,0,Harlequins,28,0,Twickenham Stadium,Unknown,46,H,16,Mon,Dec,2010,2010-11,22.6,25.2,0.2,0.4,6,3,1,16,1,19,0,1
128,2010-12-27,15:00,Leicester,54,1,Sale,21,0,Welford Road,Unknown,75,H,15,Mon,Dec,2010,2010-11,23.6,16.0,0.4,0.4,5,10,1,19,1,19,0,1
130,2010-12-27,16:15,Harlequins,28,0,London Irish,18,0,Twickenham Stadium,Unknown,46,H,16,Mon,Dec,2010,2010-11,22.0,20.2,0.6,0.0,3,6,1,16,1,19,0,1
137,2011-01-01,15:00,Harlequins,16,0,Northampton,13,1,Franklin's Gardens,Unknown,29,A,15,Sat,Jan,2011,2010-11,22.4,17.2,0.4,0.0,3,9,3,3,2,19,0,0
134,2011-01-01,15:00,London Irish,24,1,Bath,25,0,Madejski Stadium,Unknown,49,A,15,Sat,Jan,2011,2010-11,23.8,29.0,0.2,0.2,6,0,3,8,2,19,0,0
141,2011-01-02,15:00,Saracens,22,1,Sale,28,0,Edgeley Park,Unknown,50,H,15,Sun,Jan,2011,2010-11,15.6,15.0,0.2,0.4,11,10,3,2,3,19,0,1
140,2011-01-02,15:00,Sale,28,0,Saracens,22,1,Edgeley Park,Unknown,50,H,15,Sun,Jan,2011,2010-11,16.4,27.8,0.2,0.6,10,11,3,2,3,19,0,1
138,2011-01-02,14:45,Wasps,33,0,Newcastle,16,0,Adams Park,Unknown,49,H,14,Sun,Jan,2011,2010-11,18.2,12.8,0.2,0.2,12,8,3,0,3,19,0,1
143,2011-01-02,16:15,Leicester,22,0,Exeter,15,1,Sandy Park,Unknown,37,A,16,Sun,Jan,2011,2010-11,30.2,17.2,0.6,0.2,5,1,3,12,3,19,0,0
142,2011-01-02,16:15,Exeter,15,1,Leicester,22,0,Sandy Park,Unknown,37,A,16,Sun,Jan,2011,2010-11,16.6,14.6,0.2,0.4,1,5,3,12,3,19,0,0
144,2011-01-07,19:45,Newcastle,19,0,Sale,19,0,Kingston Park,Unknown,38,D,19,Fri,Jan,2011,2010-11,14.6,26.4,0.2,0.6,8,10,3,7,0,19,0,0
145,2011-01-07,19:45,Sale,19,0,Newcastle,19,0,Kingston Park,Unknown,38,D,19,Fri,Jan,2011,2010-11,20.8,31.6,0.2,0.6,10,8,3,7,0,19,0,0
149,2011-01-08,15:00,Exeter,23,0,Gloucester,37,1,Kingsholm,Unknown,60,H,15,Sat,Jan,2011,2010-11,17.8,16.6,0.2,0.4,1,2,3,6,2,19,0,1
151,2011-01-08,15:00,Wasps,10,1,Harlequins,17,0,Twickenham Stoop,Unknown,27,H,15,Sat,Jan,2011,2010-11,21.4,14.4,0.2,0.2,12,3,3,17,2,19,0,1
153,2011-01-08,15:00,Northampton,16,0,Leicester,27,0,Welford Road,Unknown,43,H,15,Sat,Jan,2011,2010-11,27.6,14.4,0.8,0.0,9,5,3,19,2,19,0,1
148,2011-01-08,15:00,Gloucester,37,1,Exeter,23,0,Kingsholm,Unknown,60,H,15,Sat,Jan,2011,2010-11,18.0,15.6,0.4,0.6,2,1,3,6,2,19,0,1
146,2011-01-08,14:15,Bath,16,0,Leeds,13,1,Recreation Ground,Unknown,29,H,14,Sat,Jan,2011,2010-11,13.0,15.8,0.6,0.2,0,4,3,9,2,19,0,1
152,2011-01-08,15:00,Leicester,27,0,Northampton,16,0,Welford Road,Unknown,43,H,15,Sat,Jan,2011,2010-11,32.2,16.4,0.4,0.4,5,9,3,19,2,19,0,1
150,2011-01-08,15:00,Harlequins,17,0,Wasps,10,1,Twickenham Stoop,Unknown,27,H,15,Sat,Jan,2011,2010-11,24.4,18.6,0.4,0.2,3,12,3,17,2,19,0,1
147,2011-01-08,14:15,Leeds,13,1,Bath,16,0,Recreation Ground,Unknown,29,H,14,Sat,Jan,2011,2010-11,10.6,20.4,0.4,0.4,4,0,3,9,2,19,0,1
155,2011-01-09,15:00,London Irish,6,1,Saracens,12,0,Vicarage Road,Unknown,18,H,15,Sun,Jan,2011,2010-11,20.8,28.8,0.2,0.2,6,11,3,18,3,19,0,1
154,2011-01-09,15:00,Saracens,12,0,London Irish,6,1,Vicarage Road,Unknown,18,H,15,Sun,Jan,2011,2010-11,18.2,16.0,0.4,0.4,11,6,3,18,3,19,0,1
157,2011-02-11,19:45,Bath,19,0,Sale,7,0,Edgeley Park,Unknown,26,A,19,Fri,Feb,2011,2010-11,13.2,14.2,0.4,0.4,0,10,2,2,0,19,0,0
156,2011-02-11,19:45,Sale,7,0,Bath,19,0,Edgeley Park,Unknown,26,A,19,Fri,Feb,2011,2010-11,19.4,27.6,0.2,0.4,10,0,2,2,0,19,0,0
161,2011-02-12,15:00,Harlequins,6,0,Exeter,20,0,Sandy Park,Unknown,26,H,15,Sat,Feb,2011,2010-11,25.2,17.0,0.2,0.4,3,1,2,12,2,19,0,1
162,2011-02-12,15:00,Northampton,15,0,Saracens,29,0,Franklin's Gardens,Unknown,44,A,15,Sat,Feb,2011,2010-11,23.4,17.8,0.6,0.0,9,11,2,3,2,19,0,0
160,2011-02-12,15:00,Exeter,20,0,Harlequins,6,0,Sandy Park,Unknown,26,H,15,Sat,Feb,2011,2010-11,17.8,22.2,0.2,0.6,1,3,2,12,2,19,0,1
163,2011-02-12,15:00,Saracens,29,0,Northampton,15,0,Franklin's Gardens,Unknown,44,A,15,Sat,Feb,2011,2010-11,17.2,14.6,0.4,0.4,11,9,2,3,2,19,0,0
158,2011-02-12,12:30,London Irish,23,0,Newcastle,14,0,Madejski Stadium,Unknown,37,H,12,Sat,Feb,2011,2010-11,17.0,24.6,0.4,0.2,6,8,2,8,2,19,0,1
159,2011-02-12,12:30,Newcastle,14,0,London Irish,23,0,Madejski Stadium,Unknown,37,H,12,Sat,Feb,2011,2010-11,15.8,27.2,0.0,0.6,8,6,2,8,2,19,0,1
165,2011-02-13,15:00,Leicester,15,0,Leeds,9,1,Headingley,Unknown,24,A,15,Sun,Feb,2011,2010-11,34.0,17.0,0.4,0.2,5,4,2,4,3,19,0,0
164,2011-02-13,15:00,Leeds,9,1,Leicester,15,0,Headingley,Unknown,24,A,15,Sun,Feb,2011,2010-11,12.6,22.4,0.4,0.4,4,5,2,4,3,19,0,0
167,2011-02-13,17:00,Gloucester,10,0,Wasps,9,1,Adams Park,Unknown,19,A,17,Sun,Feb,2011,2010-11,18.8,15.0,0.6,0.4,2,12,2,0,3,19,0,0
166,2011-02-13,17:00,Wasps,9,1,Gloucester,10,0,Adams Park,Unknown,19,A,17,Sun,Feb,2011,2010-11,16.8,12.8,0.4,0.2,12,2,2,0,3,19,0,0
170,2011-02-18,20:00,Newcastle,13,0,Exeter,23,0,Kingston Park,Unknown,36,A,20,Fri,Feb,2011,2010-11,16.0,25.0,0.0,0.4,8,1,2,7,0,19,0,0
168,2011-02-18,19:45,Gloucester,23,0,London Irish,9,0,Kingsholm,Unknown,32,H,19,Fri,Feb,2011,2010-11,17.0,14.4,0.6,0.4,2,6,2,6,0,19,0,1
171,2011-02-18,20:00,Exeter,23,0,Newcastle,13,0,Kingston Park,Unknown,36,A,20,Fri,Feb,2011,2010-11,18.8,21.6,0.2,0.4,1,8,2,7,0,19,0,0
169,2011-02-18,19:45,London Irish,9,0,Gloucester,23,0,Kingsholm,Unknown,32,H,19,Fri,Feb,2011,2010-11,17.0,20.4,0.4,0.0,6,2,2,6,0,19,0,1
177,2011-02-19,17:30,Wasps,12,0,Leicester,21,0,Welford Road,Unknown,33,H,17,Sat,Feb,2011,2010-11,16.4,13.6,0.6,0.0,12,5,2,19,2,19,0,1
174,2011-02-19,15:00,Harlequins,21,0,Sale,9,0,Twickenham Stoop,Unknown,30,H,15,Sat,Feb,2011,2010-11,16.2,17.4,0.0,0.4,3,10,2,17,2,19,0,1
175,2011-02-19,15:00,Sale,9,0,Harlequins,21,0,Twickenham Stoop,Unknown,30,H,15,Sat,Feb,2011,2010-11,18.8,27.6,0.2,0.4,10,3,2,17,2,19,0,1
173,2011-02-19,15:00,Northampton,8,0,Bath,38,1,Recreation Ground,Unknown,46,H,15,Sat,Feb,2011,2010-11,19.6,21.0,0.4,0.0,9,0,2,9,2,19,0,1
172,2011-02-19,15:00,Bath,38,1,Northampton,8,0,Recreation Ground,Unknown,46,H,15,Sat,Feb,2011,2010-11,15.8,14.4,0.4,0.4,0,9,2,9,2,19,0,1
176,2011-02-19,17:30,Leicester,21,0,Wasps,12,0,Welford Road,Unknown,33,H,17,Sat,Feb,2011,2010-11,28.2,15.0,0.2,0.4,5,12,2,19,2,19,0,1
179,2011-02-20,15:00,Leeds,0,0,Saracens,39,1,Vicarage Road,Unknown,39,H,15,Sun,Feb,2011,2010-11,12.8,22.0,0.6,0.4,4,11,2,18,3,19,0,1
178,2011-02-20,15:00,Saracens,39,1,Leeds,0,0,Vicarage Road,Unknown,39,H,15,Sun,Feb,2011,2010-11,20.4,13.8,0.2,0.4,11,4,2,18,3,19,0,1
181,2011-02-25,19:45,Leicester,18,0,Sale,16,1,Edgeley Park,Unknown,34,A,19,Fri,Feb,2011,2010-11,27.8,14.6,0.2,0.4,5,10,2,2,0,19,0,0
180,2011-02-25,19:45,Sale,16,1,Leicester,18,0,Edgeley Park,Unknown,34,A,19,Fri,Feb,2011,2010-11,16.8,27.0,0.0,0.4,10,5,2,2,0,19,0,0
187,2011-02-26,15:00,Gloucester,18,0,Northampton,16,1,Franklin's Gardens,Unknown,34,A,15,Sat,Feb,2011,2010-11,20.4,13.8,0.4,0.4,2,9,2,3,2,19,0,0
185,2011-02-26,15:00,Harlequins,9,1,London Irish,15,0,Madejski Stadium,Unknown,24,H,15,Sat,Feb,2011,2010-11,17.6,14.0,0.0,0.4,3,6,2,8,2,19,0,1
184,2011-02-26,15:00,London Irish,15,0,Harlequins,9,1,Madejski Stadium,Unknown,24,H,15,Sat,Feb,2011,2010-11,16.0,20.4,0.4,0.0,6,3,2,8,2,19,0,1
183,2011-02-26,15:00,Bath,12,0,Exeter,9,1,Sandy Park,Unknown,21,A,15,Sat,Feb,2011,2010-11,20.8,12.6,0.4,0.4,0,1,2,12,2,19,0,0
186,2011-02-26,15:00,Northampton,16,1,Gloucester,18,0,Franklin's Gardens,Unknown,34,A,15,Sat,Feb,2011,2010-11,17.4,26.6,0.4,0.2,9,2,2,3,2,19,0,0
182,2011-02-26,15:00,Exeter,9,1,Bath,12,0,Sandy Park,Unknown,21,A,15,Sat,Feb,2011,2010-11,18.6,20.4,0.2,0.2,1,0,2,12,2,19,0,0
188,2011-02-27,13:00,Wasps,15,0,Saracens,26,0,Adams Park,Unknown,41,A,13,Sun,Feb,2011,2010-11,14.0,15.4,0.6,0.0,12,11,2,0,3,19,0,0
191,2011-02-27,17:30,Newcastle,22,0,Leeds,5,0,Headingley,Unknown,27,A,17,Sun,Feb,2011,2010-11,16.2,28.4,0.0,0.2,8,4,2,4,3,19,0,0
190,2011-02-27,17:30,Leeds,5,0,Newcastle,22,0,Headingley,Unknown,27,A,17,Sun,Feb,2011,2010-11,11.0,26.8,0.4,0.6,4,8,2,4,3,19,0,0
189,2011-02-27,13:00,Saracens,26,0,Wasps,15,0,Adams Park,Unknown,41,A,13,Sun,Feb,2011,2010-11,23.0,11.0,0.4,0.4,11,12,2,0,3,19,0,0
192,2011-03-04,20:00,Newcastle,33,0,Harlequins,18,0,Kingston Park,Unknown,51,H,20,Fri,Mar,2011,2010-11,16.8,20.6,0.0,0.0,8,3,4,7,0,19,0,1
193,2011-03-04,20:00,Harlequins,18,0,Newcastle,33,0,Kingston Park,Unknown,51,H,20,Fri,Mar,2011,2010-11,13.8,13.4,0.2,0.4,3,8,4,7,0,19,0,1
195,2011-03-05,15:00,Bath,22,0,Gloucester,34,1,Kingsholm,Unknown,56,H,15,Sat,Mar,2011,2010-11,22.0,12.2,0.2,0.6,0,2,4,6,2,19,0,1
196,2011-03-05,15:15,Leicester,14,1,Saracens,15,0,Welford Road,Unknown,29,A,15,Sat,Mar,2011,2010-11,20.6,13.6,0.0,0.6,5,11,4,19,2,19,0,0
197,2011-03-05,15:15,Saracens,15,0,Leicester,14,1,Welford Road,Unknown,29,A,15,Sat,Mar,2011,2010-11,25.6,12.8,0.4,0.2,11,5,4,19,2,19,0,0
194,2011-03-05,15:00,Gloucester,34,1,Bath,22,0,Kingsholm,Unknown,56,H,15,Sat,Mar,2011,2010-11,20.2,14.4,0.4,0.4,2,0,4,6,2,19,0,1
203,2011-03-06,15:00,London Irish,19,0,Leeds,27,0,Headingley,Unknown,46,H,15,Sun,Mar,2011,2010-11,15.4,16.6,0.4,0.2,6,4,4,4,3,19,0,1
200,2011-03-06,15:00,Wasps,33,0,Sale,26,1,Adams Park,Unknown,59,H,15,Sun,Mar,2011,2010-11,15.8,18.0,0.4,0.0,12,10,4,0,3,19,0,1
202,2011-03-06,15:00,Leeds,27,0,London Irish,19,0,Headingley,Unknown,46,H,15,Sun,Mar,2011,2010-11,8.4,21.0,0.4,0.4,4,6,4,4,3,19,0,1
199,2011-03-06,15:00,Northampton,9,0,Exeter,30,0,Sandy Park,Unknown,39,H,15,Sun,Mar,2011,2010-11,13.6,25.6,0.4,0.2,9,1,4,12,3,19,0,1
198,2011-03-06,15:00,Exeter,30,0,Northampton,9,0,Sandy Park,Unknown,39,H,15,Sun,Mar,2011,2010-11,18.0,18.0,0.4,0.2,1,9,4,12,3,19,0,1
201,2011-03-06,15:00,Sale,26,1,Wasps,33,0,Adams Park,Unknown,59,H,15,Sun,Mar,2011,2010-11,15.8,19.8,0.2,0.2,10,12,4,0,3,19,0,1
204,2011-03-12,15:00,Leeds,13,0,Northampton,23,0,Headingley,Unknown,36,A,15,Sat,Mar,2011,2010-11,10.8,22.2,0.4,0.2,4,9,4,4,2,19,0,0
205,2011-03-12,15:00,Northampton,23,0,Leeds,13,0,Headingley,Unknown,36,A,15,Sat,Mar,2011,2010-11,12.8,28.4,0.2,0.2,9,4,4,4,2,19,0,0
206,2011-03-25,19:45,Sale,15,0,Leeds,12,1,Edgeley Park,Unknown,27,H,19,Fri,Mar,2011,2010-11,15.4,22.0,0.4,0.0,10,4,4,2,0,19,0,1
207,2011-03-25,19:45,Leeds,12,1,Sale,15,0,Edgeley Park,Unknown,27,H,19,Fri,Mar,2011,2010-11,10.8,23.6,0.2,0.2,4,10,4,2,0,19,0,1
213,2011-03-26,16:30,Leicester,37,1,Bath,6,0,Recreation Ground,Unknown,43,A,16,Sat,Mar,2011,2010-11,19.0,13.6,0.2,0.4,5,0,4,9,2,19,0,0
209,2011-03-26,15:00,Gloucester,15,0,Harlequins,53,1,Twickenham Stoop,Unknown,68,H,15,Sat,Mar,2011,2010-11,24.4,15.8,0.4,0.4,2,3,4,17,2,19,0,1
208,2011-03-26,15:00,Harlequins,53,1,Gloucester,15,0,Twickenham Stoop,Unknown,68,H,15,Sat,Mar,2011,2010-11,14.2,17.4,0.2,0.2,3,2,4,17,2,19,0,1
210,2011-03-26,15:00,London Irish,39,1,Exeter,17,0,Madejski Stadium,Unknown,56,H,15,Sat,Mar,2011,2010-11,14.4,17.0,0.2,0.2,6,1,4,8,2,19,0,1
211,2011-03-26,15:00,Exeter,17,0,London Irish,39,1,Madejski Stadium,Unknown,56,H,15,Sat,Mar,2011,2010-11,21.0,15.4,0.2,0.2,1,6,4,8,2,19,0,1
212,2011-03-26,16:30,Bath,6,0,Leicester,37,1,Recreation Ground,Unknown,43,A,16,Sat,Mar,2011,2010-11,21.4,14.2,0.2,0.6,0,5,4,9,2,19,0,0
215,2011-03-27,13:45,Wasps,3,0,Northampton,39,1,Franklin's Gardens,Unknown,42,H,13,Sun,Mar,2011,2010-11,15.8,20.0,0.4,0.2,12,9,4,3,3,19,0,1
216,2011-03-27,15:00,Saracens,24,0,Newcastle,9,0,Vicarage Road,Unknown,33,H,15,Sun,Mar,2011,2010-11,24.2,10.0,0.2,0.4,11,8,4,18,3,19,0,1
217,2011-03-27,15:00,Newcastle,9,0,Saracens,24,0,Vicarage Road,Unknown,33,H,15,Sun,Mar,2011,2010-11,20.2,17.6,0.0,0.0,8,11,4,18,3,19,0,1
214,2011-03-27,13:45,Northampton,39,1,Wasps,3,0,Franklin's Gardens,Unknown,42,H,13,Sun,Mar,2011,2010-11,14.2,25.6,0.2,0.2,9,12,4,3,3,19,0,1
219,2011-04-02,14:30,Sale,24,0,Northampton,53,1,Franklin's Gardens,Unknown,77,H,14,Sat,Apr,2011,2010-11,14.6,20.6,0.4,0.2,10,9,0,3,2,19,0,1
222,2011-04-02,17:30,Harlequins,13,1,Leicester,17,0,Twickenham Stoop,Wayne Barnes,30,A,17,Sat,Apr,2011,2010-11,21.4,18.4,0.4,0.0,3,5,0,17,2,20,0,0
223,2011-04-02,17:30,Leicester,17,0,Harlequins,13,1,Twickenham Stoop,Wayne Barnes,30,A,17,Sat,Apr,2011,2010-11,21.0,11.6,0.4,0.4,5,3,0,17,2,20,0,0
218,2011-04-02,14:30,Northampton,53,1,Sale,24,0,Franklin's Gardens,Unknown,77,H,14,Sat,Apr,2011,2010-11,19.0,20.4,0.4,0.2,9,10,0,3,2,19,0,1
220,2011-04-02,15:00,Gloucester,34,1,Newcastle,9,0,Kingsholm,Dean Richards,43,H,15,Sat,Apr,2011,2010-11,20.0,21.8,0.2,0.6,2,8,0,6,2,6,0,1
221,2011-04-02,15:00,Newcastle,9,0,Gloucester,34,1,Kingsholm,Dean Richards,43,H,15,Sat,Apr,2011,2010-11,18.2,18.6,0.0,0.0,8,2,0,6,2,6,0,1
229,2011-04-03,15:00,Bath,9,0,Saracens,20,0,Vicarage Road,Nigel Owens,29,H,15,Sun,Apr,2011,2010-11,19.4,19.0,0.2,0.6,0,11,0,18,3,15,0,1
228,2011-04-03,15:00,Saracens,20,0,Bath,9,0,Vicarage Road,Nigel Owens,29,H,15,Sun,Apr,2011,2010-11,26.6,10.6,0.2,0.2,11,0,0,18,3,15,0,1
224,2011-04-03,15:00,Leeds,27,0,Exeter,22,1,Headingley,Tim Wigglesworth,49,H,15,Sun,Apr,2011,2010-11,11.4,23.6,0.2,0.2,4,1,0,4,3,18,0,1
227,2011-04-03,15:00,Wasps,12,0,London Irish,25,0,Madejski Stadium,Chris White,37,H,15,Sun,Apr,2011,2010-11,14.4,24.4,0.2,0.4,12,6,0,8,3,2,0,1
226,2011-04-03,15:00,London Irish,25,0,Wasps,12,0,Madejski Stadium,Chris White,37,H,15,Sun,Apr,2011,2010-11,21.0,18.0,0.2,0.2,6,12,0,8,3,2,0,1
225,2011-04-03,15:00,Exeter,22,1,Leeds,27,0,Headingley,Tim Wigglesworth,49,H,15,Sun,Apr,2011,2010-11,19.8,15.8,0.2,0.2,1,4,0,4,3,18,0,1
230,2011-04-08,19:45,Sale,36,1,Gloucester,31,1,Edgeley Park,Unknown,67,H,19,Fri,Apr,2011,2010-11,18.0,27.4,0.4,0.4,10,2,0,2,0,19,0,1
231,2011-04-08,19:45,Gloucester,31,1,Sale,36,1,Edgeley Park,Unknown,67,H,19,Fri,Apr,2011,2010-11,24.8,21.8,0.4,0.4,2,10,0,2,0,19,0,1
233,2011-04-09,14:30,Exeter,18,0,Bath,26,0,Recreation Ground,Unknown,44,H,14,Sat,Apr,2011,2010-11,20.2,20.0,0.4,0.2,1,0,0,9,2,19,0,1
232,2011-04-09,14:30,Bath,26,0,Exeter,18,0,Recreation Ground,Unknown,44,H,14,Sat,Apr,2011,2010-11,17.4,21.6,0.2,0.6,0,1,0,9,2,19,0,1
235,2011-04-09,15:00,Leeds,30,0,Newcastle,29,1,Kingston Park,Unknown,59,A,15,Sat,Apr,2011,2010-11,16.8,20.2,0.2,0.2,4,8,0,7,2,19,0,0
234,2011-04-09,15:00,Newcastle,29,1,Leeds,30,0,Kingston Park,Unknown,59,A,15,Sat,Apr,2011,2010-11,17.2,20.8,0.0,0.2,8,4,0,7,2,19,0,0
236,2011-04-15,19:45,Newcastle,15,1,Northampton,22,0,Kingston Park,Greg Garner,37,A,19,Fri,Apr,2011,2010-11,20.4,22.2,0.2,0.2,8,9,0,7,0,8,0,0
237,2011-04-15,19:45,Northampton,22,0,Newcastle,15,1,Kingston Park,Greg Garner,37,A,19,Fri,Apr,2011,2010-11,28.0,17.6,0.6,0.0,9,8,0,7,0,8,0,0
240,2011-04-16,15:00,Exeter,12,0,Saracens,33,0,Sandy Park,Dean Richards,45,A,15,Sat,Apr,2011,2010-11,19.2,22.6,0.4,0.2,1,11,0,12,2,6,0,0
244,2011-04-16,17:30,Sale,20,0,London Irish,34,1,Reebok Stadium,Unknown,54,A,17,Sat,Apr,2011,2010-11,23.4,29.4,0.6,0.6,10,6,0,10,2,19,0,0
245,2011-04-16,17:30,London Irish,34,1,Sale,20,0,Reebok Stadium,Unknown,54,A,17,Sat,Apr,2011,2010-11,21.4,17.6,0.2,0.2,6,10,0,10,2,19,0,0
241,2011-04-16,15:00,Saracens,33,0,Exeter,12,0,Sandy Park,Dean Richards,45,A,15,Sat,Apr,2011,2010-11,24.8,9.4,0.2,0.2,11,1,0,12,2,6,0,0
243,2011-04-16,15:00,Gloucester,41,1,Leicester,41,1,Welford Road,George Clancy,82,D,15,Sat,Apr,2011,2010-11,26.4,27.2,0.6,0.6,2,5,0,19,2,7,0,0
239,2011-04-16,14:15,Harlequins,15,1,Bath,19,0,Recreation Ground,Dave Pearson,34,H,14,Sat,Apr,2011,2010-11,22.8,17.8,0.6,0.0,3,0,0,9,2,3,0,1
242,2011-04-16,15:00,Leicester,41,1,Gloucester,41,1,Welford Road,George Clancy,82,D,15,Sat,Apr,2011,2010-11,21.4,12.4,0.4,0.4,5,2,0,19,2,7,0,0
238,2011-04-16,14:15,Bath,19,0,Harlequins,15,1,Recreation Ground,Dave Pearson,34,H,14,Sat,Apr,2011,2010-11,15.0,23.6,0.0,0.6,0,3,0,9,2,3,0,1
247,2011-04-17,15:00,Leeds,18,0,Wasps,51,1,Adams Park,Unknown,69,H,15,Sun,Apr,2011,2010-11,21.8,21.6,0.2,0.4,4,12,0,0,3,19,0,1
246,2011-04-17,15:00,Wasps,51,1,Leeds,18,0,Adams Park,Unknown,69,H,15,Sun,Apr,2011,2010-11,15.0,27.4,0.0,0.4,12,4,0,0,3,19,0,1
249,2011-04-19,19:45,Northampton,15,0,Gloucester,27,0,Kingsholm,Unknown,42,H,19,Tue,Apr,2011,2010-11,29.2,17.0,0.4,0.2,9,2,0,6,4,19,0,1
248,2011-04-19,19:45,Gloucester,27,0,Northampton,15,0,Kingsholm,Unknown,42,H,19,Tue,Apr,2011,2010-11,31.0,32.2,0.8,0.6,2,9,0,6,4,19,0,1
252,2011-04-22,18:00,Newcastle,13,0,Leicester,24,0,Kingston Park,Tim Wigglesworth,37,A,18,Fri,Apr,2011,2010-11,19.0,25.6,0.4,0.2,8,5,0,7,0,18,0,0
250,2011-04-22,15:00,Sale,24,1,Exeter,30,0,Edgeley Park,Peter Fitzgibbon,54,A,15,Fri,Apr,2011,2010-11,24.2,32.6,0.4,0.8,10,1,0,2,0,16,0,0
251,2011-04-22,15:00,Exeter,30,0,Sale,24,1,Edgeley Park,Peter Fitzgibbon,54,A,15,Fri,Apr,2011,2010-11,19.8,26.8,0.2,0.2,1,10,0,2,0,16,0,0
253,2011-04-22,18:00,Leicester,24,0,Newcastle,13,0,Kingston Park,Tim Wigglesworth,37,A,18,Fri,Apr,2011,2010-11,25.4,18.2,0.6,0.6,5,8,0,7,0,18,0,0
254,2011-04-23,15:00,London Irish,20,1,Northampton,26,0,Madejski Stadium,Unknown,46,A,15,Sat,Apr,2011,2010-11,26.4,17.0,0.4,0.2,6,9,0,8,2,19,0,0
257,2011-04-23,17:30,Bath,43,1,Wasps,10,0,Twickenham Stadium,Wayne Barnes,53,A,17,Sat,Apr,2011,2010-11,16.4,24.8,0.0,0.6,0,12,0,16,2,20,0,0
255,2011-04-23,15:00,Northampton,26,0,London Irish,20,1,Madejski Stadium,Unknown,46,A,15,Sat,Apr,2011,2010-11,30.4,16.4,0.4,0.2,9,6,0,8,2,19,0,0
256,2011-04-23,17:30,Wasps,10,0,Bath,43,1,Twickenham Stadium,Wayne Barnes,53,A,17,Sat,Apr,2011,2010-11,22.8,26.8,0.2,0.4,12,0,0,16,2,20,0,0
258,2011-04-24,13:30,Saracens,35,1,Gloucester,12,0,Vicarage Road,Dave Pearson,47,H,13,Sun,Apr,2011,2010-11,23.6,11.8,0.0,0.2,11,2,0,18,3,3,0,1
259,2011-04-24,13:30,Gloucester,12,0,Saracens,35,1,Vicarage Road,Dave Pearson,47,H,13,Sun,Apr,2011,2010-11,29.6,30.8,0.6,0.6,2,11,0,18,3,3,0,1
261,2011-04-24,15:00,Harlequins,38,1,Leeds,3,0,Headingley,Martin Fox,41,A,15,Sun,Apr,2011,2010-11,21.6,19.8,0.8,0.0,3,4,0,4,3,13,0,0
260,2011-04-24,15:00,Leeds,3,0,Harlequins,38,1,Headingley,Martin Fox,41,A,15,Sun,Apr,2011,2010-11,20.0,28.0,0.2,0.6,4,3,0,4,3,13,0,0
263,2011-04-30,16:00,Bath,14,0,Newcastle,11,1,Kingston Park,Unknown,25,A,16,Sat,Apr,2011,2010-11,20.6,20.0,0.2,0.4,0,8,0,7,2,19,0,0
262,2011-04-30,16:00,Newcastle,11,1,Bath,14,0,Kingston Park,Unknown,25,A,16,Sat,Apr,2011,2010-11,15.0,26.8,0.4,0.2,8,0,0,7,2,19,0,0
271,2011-05-07,15:00,Saracens,16,0,Harlequins,13,0,Twickenham Stoop,Tim Wigglesworth,29,A,15,Sat,May,2011,2010-11,25.4,11.2,0.2,0.2,11,3,5,17,2,18,0,0
269,2011-05-07,15:00,Sale,17,0,Gloucester,68,0,Kingsholm,Unknown,85,H,15,Sat,May,2011,2010-11,23.8,32.0,0.4,0.8,10,2,5,6,2,19,0,1
272,2011-05-07,15:00,Leicester,32,0,London Irish,23,0,Welford Road,Greg Garner,55,H,15,Sat,May,2011,2010-11,26.6,17.6,0.6,0.4,5,6,5,19,2,8,0,1
275,2011-05-07,15:00,Leeds,24,0,Northampton,31,0,Franklin's Gardens,Andrew Small,55,H,15,Sat,May,2011,2010-11,18.0,31.0,0.2,0.8,4,9,5,3,2,0,0,1
266,2011-05-07,15:00,Exeter,21,0,Wasps,8,0,Sandy Park,Llyr Apgeraint-Roberts,29,H,15,Sat,May,2011,2010-11,19.8,29.8,0.2,0.4,1,12,5,12,2,11,0,1
274,2011-05-07,15:00,Northampton,31,0,Leeds,24,0,Franklin's Gardens,Andrew Small,55,H,15,Sat,May,2011,2010-11,31.0,17.8,0.4,0.4,9,4,5,3,2,0,0,1
265,2011-05-07,15:00,Newcastle,12,0,Bath,42,0,Recreation Ground,Wayne Barnes,54,H,15,Sat,May,2011,2010-11,15.4,24.8,0.6,0.2,8,0,5,9,2,20,0,1
264,2011-05-07,15:00,Bath,42,0,Newcastle,12,0,Recreation Ground,Wayne Barnes,54,H,15,Sat,May,2011,2010-11,22.2,14.8,0.2,0.4,0,8,5,9,2,20,0,1
