,date,team1Name,team2Name,venue,referee,result,day,month,season,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,avgLast5Tries,avgLast5Conversions,avgLast5Penalties,avgLast5DropGoals,avgLast5TriesAgainst,avgLast5ConversionsAgainst,avgLast5PenaltiesAgainst,avgLast5DropGoalsAgainst,targetCode,wonLastTeam1,wonLastTeam2
204,2015-03-27,Northampton,Wasps,Franklin's Gardens,Craig Maxwell-Keys,W,Fri,Mar,2014-15,18.6,17.6,0.0,0.4,2.2,1.4,1.6,0.0,1.4,1.4,2.6,0.0,1,0.0,0
205,2015-03-27,Wasps,Northampton,Franklin's Gardens,Craig Maxwell-Keys,L,Fri,Mar,2014-15,27.0,23.0,0.6,0.2,3.6,2.4,1.4,0.0,2.4,1.6,2.6,0.0,0,0.0,1
206,2015-03-28,Leicester,Exeter,Welford Road,JP Doyle,W,Sat,Mar,2014-15,17.2,14.6,0.0,0.8,0.8,0.6,3.8,0.2,1.4,0.8,2.0,0.0,1,1.0,1
207,2015-03-28,Exeter,Leicester,Welford Road,JP Doyle,L,Sat,Mar,2014-15,38.8,18.2,0.6,0.2,4.2,3.8,3.4,0.0,2.2,1.2,1.4,0.2,0,1.0,1
208,2015-03-28,London Irish,Newcastle,Madejski Stadium,Greg Garner,W,Sat,Mar,2014-15,22.6,18.2,1.0,0.2,2.8,1.6,1.6,0.2,1.6,1.2,2.4,0.2,1,0.0,0
211,2015-03-28,Harlequins,Saracens,Wembley Stadium,Wayne Barnes,L,Sat,Mar,2014-15,19.6,23.6,0.4,0.4,1.8,1.4,2.6,0.0,2.2,1.8,3.0,0.0,0,1.0,1
210,2015-03-28,Saracens,Harlequins,Wembley Stadium,Wayne Barnes,W,Sat,Mar,2014-15,23.0,19.2,0.4,0.2,2.0,1.4,3.4,0.0,2.4,1.8,1.2,0.0,1,1.0,1
209,2015-03-28,Newcastle,London Irish,Madejski Stadium,Greg Garner,L,Sat,Mar,2014-15,21.4,22.8,0.6,0.2,3.2,1.8,0.6,0.0,2.4,1.8,2.4,0.0,0,0.0,0
215,2015-03-29,Bath,London Welsh,Kassam Stadium,Thomas Foley,W,Sun,Mar,2014-15,18.8,20.0,0.2,0.2,1.8,1.6,2.2,0.0,2.0,1.4,2.4,0.0,1,1.0,0
212,2015-03-29,Sale,Gloucester,AJ Bell Stadium,Matthew Carley,W,Sun,Mar,2014-15,19.4,13.8,0.2,0.2,2.6,2.0,0.8,0.0,1.4,1.0,1.6,0.0,1,0.0,1
