date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,winner,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
05/Sep/2014,19:45,Northampton,53,Gloucester,6,Franklin's Gardens,Wayne Barnes,59,H,N,19,Fri,Sep,2014,2014-15,1,0,8,5,1,0,0,0,2,0
05/Sep/2014,19:45,Gloucester,6,Northampton,53,Franklin's Gardens,Wayne Barnes,59,H,N,19,Fri,Sep,2014,2014-15,0,1,0,0,2,0,8,5,1,0
06/Sep/2014,14:00,Sale,20,Bath,29,AJ Bell Stadium,JP Doyle,49,A,N,14,Sat,Sep,2014,2014-15,0,0,2,2,2,0,2,2,5,0
06/Sep/2014,14:00,Bath,29,Sale,20,AJ Bell Stadium,JP Doyle,49,A,N,14,Sat,Sep,2014,2014-15,0,0,2,2,5,0,2,2,2,0
06/Sep/2014,14:00,Saracens,34,Wasps,28,Twickenham Stadium,Andrew Small,62,H,N,14,Sat,Sep,2014,2014-15,1,1,4,4,2,0,3,2,3,0
06/Sep/2014,14:00,Wasps,28,Saracens,34,Twickenham Stadium,Andrew Small,62,H,N,14,Sat,Sep,2014,2014-15,1,1,3,2,3,0,4,4,2,0
06/Sep/2014,15:00,Leicester,36,Newcastle,17,Welford Road,Luke Pearce,53,H,N,15,Sat,Sep,2014,2014-15,1,0,4,2,4,0,2,2,1,0
06/Sep/2014,15:00,Newcastle,17,Leicester,36,Welford Road,Luke Pearce,53,H,N,15,Sat,Sep,2014,2014-15,0,1,2,2,1,0,4,2,4,0
06/Sep/2014,16:30,London Irish,15,Harlequins,20,Twickenham Stadium,Greg Garner,35,A,N,16,Sat,Sep,2014,2014-15,1,0,0,0,5,0,2,2,2,0
06/Sep/2014,16:30,Harlequins,20,London Irish,15,Twickenham Stadium,Greg Garner,35,A,N,16,Sat,Sep,2014,2014-15,0,1,2,2,2,0,0,0,5,0
07/Sep/2014,14:00,London Welsh,0,Exeter,52,Kassam Stadium,Dean Richards,52,A,N,14,Sun,Sep,2014,2014-15,0,1,0,0,0,0,7,7,1,0
07/Sep/2014,14:00,Exeter,52,London Welsh,0,Kassam Stadium,Dean Richards,52,A,N,14,Sun,Sep,2014,2014-15,1,0,7,7,1,0,0,0,0,0
12/Sep/2014,19:45,Harlequins,0,Saracens,39,Twickenham Stoop,Wayne Barnes,39,A,N,19,Fri,Sep,2014,2014-15,0,0,0,0,0,0,3,3,6,0
12/Sep/2014,19:45,Saracens,39,Harlequins,0,Twickenham Stoop,Wayne Barnes,39,A,N,19,Fri,Sep,2014,2014-15,0,0,3,3,6,0,0,0,0,0
13/Sep/2014,15:00,Bath,53,London Welsh,26,The Recreation Ground,Matthew Carley,79,H,N,15,Sat,Sep,2014,2014-15,1,1,7,6,2,0,4,3,0,0
13/Sep/2014,15:00,London Welsh,26,Bath,53,The Recreation Ground,Matthew Carley,79,H,N,15,Sat,Sep,2014,2014-15,1,1,4,3,0,0,7,6,2,0
13/Sep/2014,15:00,Gloucester,34,Sale,27,Kingsholm,Greg Garner,61,H,N,15,Sat,Sep,2014,2014-15,0,2,3,2,5,0,4,2,1,0
13/Sep/2014,15:00,Sale,27,Gloucester,34,Kingsholm,Greg Garner,61,H,N,15,Sat,Sep,2014,2014-15,2,0,4,2,1,0,3,2,5,0
13/Sep/2014,15:15,Exeter,20,Leicester,24,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15,1,0,2,2,2,0,2,1,4,0
13/Sep/2014,15:15,Leicester,24,Exeter,20,Sandy Park,JP Doyle,44,A,N,15,Sat,Sep,2014,2014-15,0,1,2,1,4,0,2,2,2,0
14/Sep/2014,14:00,Wasps,20,Northampton,16,Adams Park,Luke Pearce,36,H,N,14,Sun,Sep,2014,2014-15,0,1,2,2,2,0,1,1,3,0
